article_id,garment_types,brand,Fabric,Pattern,Collar,Fastening,Neckline,Shape,Length,Fit,Color,sample
BEJ21C1DS-Q11,evening_dress,Bershka,Lace,Plain,Standing collar,Missing,Missing,Body-hugging,Extra short,Skinny Fit,Black,train
M5921C18L-Q11,casual_dress,Morgan,Missing,Print,Missing,Missing,Cache-coeur,Straight,Short,Regular Fit,Beige,train
CBS21C01N-K11,casual_dress,Chelsea Clark,Sweat,Print,Hood,Missing,Crew neck,Straight,Short,Regular Fit,Grey,val
WG021C0N6-Q11,casual_dress,WAL G.,Jersey,Plain,Standing collar,Zip,Crew neck,Fitted,Short,Slim Fit,Black,train
ONA21C0P4-K11,casual_dress,ONLY Carmakoma,Missing,Print,Missing,Belt,V-neck,Fitted,Knee-length,Loose Fit,Green,val
M9121C6S7-Q11,knitted_dress,Mango,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Calf-length,Regular Fit,Black,train
P2121C0JA-T11,casual_dress,Part Two,Knit,Floral,Missing,Zip,Crew neck,Fitted,Knee-length,Regular Fit,Beige,train
DI121C0FV-Q11,evening_dress,Diesel,Satin,Missing,Missing,Missing,Backless,Body-hugging,Extra short,Skinny Fit,Silver,train
GS121C0GU-K11,denim_dress,G-Star,Denim,Missing,Missing,Other,Square neck,Flared,Calf-length,Regular Fit,Blue,val
SG721C0ZN-K11,evening_dress,Swing,Chiffon,Plain,Turn-down collar,Zip,Cache-coeur,Fitted,Knee-length,Regular Fit,Blue,train
IN321C0L6-K11,casual_dress,InWear,Satin,Plain,Standing collar,Button,Missing,Flared,Calf-length,Regular Fit,Blue,val
SAD21C0H0-Q11,casual_dress,sandro,Jersey,Plain,Standing collar,Zip,Crew neck,Fitted,Extra short,Slim Fit,Black,train
VE121C46D-Q11,casual_dress,Vero Moda,Missing,Floral,Standing collar,Missing,Low-cut v-neck,Flared,Short,Loose Fit,Grey,val
2RD21C010-B11,knitted_dress,Rodier,Rib,Striped,Missing,Missing,Crew neck,Straight,Knee-length,Regular Fit,Beige,train
SO221C1DQ-C11,casual_dress,s.Oliver,Sweat,Marl,Hood,Missing,Missing,Straight,Knee-length,Loose Fit,Grey,val
AN121C1L9-L11,maxi_dress,Ana Alcazar,Chiffon,Print,Standing collar,Button,Missing,Flared,Long,Regular Fit,Yellow,val
4DR21C0C6-B11,knitted_dress,DreiMaster,Knit,Plain,Standing collar,Missing,Low-cut v-neck,Straight,Calf-length,Slim Fit,Beige,train
P1421C0WX-G11,evening_dress,Patrizia Pepe,Jersey,Plain,Standing collar,Other,Backless,Body-hugging,Extra short,Skinny Fit,Red,train
6CA21C0B6-A11,casual_dress,Calvin Klein,Sweat,Print,Standing collar,Missing,Crew neck,Straight,Short,Loose Fit,White,train
RO521C07A-T12,casual_dress,Roxy,Jersey,Print,Missing,Missing,Henley,Fitted,Short,Regular Fit,Blue,train
R9821C03T-G11,occasion_dress,Roksanda,Missing,Missing,Missing,Zip,Boat neck,Fitted,Long,Regular Fit,Red,train
ON321C3BQ-M11,shirt_dress,ONLY,Chiffon,Floral,Turn-down collar,Button,Missing,Fitted,Calf-length,Regular Fit,Green,train
4AP21C28K-E11,casual_dress,Apart,Jersey,Missing,Standing collar,Button,Crew neck,Flared,Knee-length,Regular Fit,Yellow,train
PE321C0SR-Q15,casual_dress,Pieces,Missing,Animal print,Missing,Button,Low-cut v-neck,Fitted,Knee-length,Regular Fit,Brown,train
V1021C4AU-G12,casual_dress,VILA,Chiffon,Floral,Missing,Belt,Cache-coeur,Fitted,Calf-length,Regular Fit,Beige,train
PC721C0CM-C11,jersey_dress,Opus,Jersey,Marl,Standing collar,Missing,Crew neck,Straight,Calf-length,Regular Fit,Grey,train
V0H21C01T-Q11,evening_dress,EVOKED VILA,Lace,Plain,Standing collar,Missing,Low-cut v-neck,Fitted,Knee-length,Slim Fit,Black,train
ON321C299-G11,jersey_dress,ONLY,Jersey,Striped,Missing,Missing,Crew neck,Missing,Short,Regular Fit,Pink,train
RP521C001-G11,jersey_dress,Polo Sport Ralph Lauren,Jersey,Plain,Standing collar,Missing,Crew neck,Straight,Extra short,Loose Fit,Red,train
PHH21C047-J11,casual_dress,Philosophy di Lorenzo Serafini,Missing,Striped,Missing,Other,Crew neck,Fitted,Calf-length,Slim Fit,Green,train
UR621C004-C11,knitted_dress,Urban Classics,Rib,Marl,Standing collar,Missing,Crew neck,Missing,Short,Slim Fit,Grey,val
ON321C2Y1-K11,jersey_dress,ONLY,Jersey,Striped,Missing,Missing,Missing,Fitted,Long,Regular Fit,Grey,train
H5O21C022-K11,evening_dress,Halston,Jersey,Plain,Missing,Zip,Missing,Body-hugging,Extra short,Slim Fit,Brown,val
NM321C0SP-M11,knitted_dress,Noisy May,Rib,Marl,Polo neck,Missing,Crew neck,Straight,Short,Loose Fit,Beige,train
2SM21C08T-A11,maxi_dress,Smashed Lemon,Missing,Print,Standing collar,Belt,V-neck,Straight,Long,Loose Fit,Blue,train
MP421C041-Q11,knitted_dress,Mother of Pearl,Rib,Plain,Standing collar,Missing,Missing,Straight,Calf-length,Loose Fit,Black,train
AKB21C01C-A11,knitted_dress,AKNVAS,Other,Plain,Standing collar,Zip,Crew neck,Body-hugging,Long,Skinny Fit,White,train
WG021C12Q-G11,evening_dress,WAL G.,Velvet,Plain,Other,Zip,Off-the-shoulder,Body-hugging,Knee-length,Skinny Fit,Red,train
NX321C40Y-Q11,maxi_dress,Next,Missing,Print,Missing,Drawstring fastening,Low-cut v-neck,Fitted,Long,Regular Fit,Grey,val
QM421C0K1-Q11,shift_dress,Marks & Spencer,Jersey,Marl,Standing collar,Zip,Crew neck,Fitted,Calf-length,Slim Fit,Black,train
F0O21C07Z-A11,casual_dress,Faithfull the brand,Missing,Paisley,Missing,Zip,Backless,Fitted,Calf-length,Slim Fit,Beige,val
NT521C0O9-M11,occasion_dress,Needle & Thread,Tulle,Plain,Standing collar,Zip,Missing,Fitted,Calf-length,Slim Fit,Green,train
SHI21C0UD-M11,knitted_dress,Sheego,Knit,Other,Missing,Missing,Cache-coeur,Fitted,Calf-length,Slim Fit,Blue,train
1OX21C012-Q11,knitted_dress,Oxmo,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Knee-length,Loose Fit,Grey,train
WG021C1CO-K11,occasion_dress,WAL G.,Jersey,Plain,Standing collar,Other,Crew neck,Body-hugging,Long,Skinny Fit,Blue,train
EV421C1F8-M11,knitted_dress,Even&Odd,Knit,Plain,Standing collar,Missing,Scoop neck,Body-hugging,Extra short,Skinny Fit,Green,val
V0H21C04T-Q11,knitted_dress,EVOKED VILA,Knit,Plain,Polo neck,Missing,Missing,Fitted,Knee-length,Loose Fit,Black,val
QM421C0JE-Q11,knitted_dress,Marks & Spencer,Rib,Plain,Standing collar,Missing,V-neck,Straight,Calf-length,Regular Fit,Black,val
SO221C1CK-K11,casual_dress,s.Oliver,Jersey,Marl,Missing,Missing,Crew neck,Straight,Short,Regular Fit,Blue,train
R5921C09W-M11,jersey_dress,Ragwear,Jersey,Floral,Missing,Missing,Crew neck,Body-hugging,Short,Slim Fit,Black,val
CU221C0FM-K11,casual_dress,Culture,Chiffon,Striped,Missing,Zip,Boat neck,Flared,Calf-length,Regular Fit,Blue,train
BY221I08Q-C12,knitted_dress,b.young,Knit,Plain,Standing collar,Missing,Crew neck,Straight,Calf-length,Regular Fit,Grey,val
P6921C0N0-J11,knitted_dress,Pinko,Knit,Plain,Standing collar,Missing,Square neck,Fitted,Calf-length,Slim Fit,Pink,train
TOB21C0FR-E11,casual_dress,Tommy Jeans,Missing,Plain,Standing collar,Laces,Backless,Flared,Short,Loose Fit,Yellow,val
HU721C0QM-K11,evening_dress,HUGO,Jersey,Animal print,Standing collar,Zip,Crew neck,Fitted,Short,Regular Fit,Pink,train
HL421C07Z-C11,evening_dress,Hervé Léger,Rib,Plain,Standing collar,Zip,Backless,Body-hugging,Knee-length,Skinny Fit,Black,val
QU121C01R-O11,knitted_dress,Quiksilver,Rib,Print,Missing,Missing,Scoop neck,Body-hugging,Short,Missing,Brown,train
PUC21C193-Q11,knitted_dress,PULL&BEAR,Rib,Plain,Standing collar,Missing,Crew neck,Straight,Long,Slim Fit,Black,val
BU321C01K-B11,jersey_dress,Buffalo,Jersey,Floral,Standing collar,Missing,Off-the-shoulder,Fitted,Short,Slim Fit,Beige,train
NX321C3XM-Q11,maxi_dress,Next,Mesh,Floral,Ruffle collar,Missing,Low-cut v-neck,Straight,Long,Regular Fit,Green,train
B0N21C0B8-K11,casual_dress,Betty & Co,Lace,Plain,Standing collar,Button,Crew neck,Flared,Knee-length,Regular Fit,Black,train
NX321C3TM-A12,jersey_dress,Next,Jersey,Print,Missing,Drawstring fastening,Missing,Fitted,Long,Regular Fit,Green,train
UP121C1HV-P11,casual_dress,Ulla Popken,Missing,Print,Missing,Zip,Low-cut v-neck,Flared,Knee-length,Loose Fit,Purple,train
BR321C087-Q11,evening_dress,Bruuns Bazaar,Chiffon,Plain,Standing collar,Button,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Black,train
SO921C050-K11,casual_dress,Soaked in Luxury,Jersey,Floral,Missing,Zip,Cache-coeur,Missing,Calf-length,Regular Fit,Brown,train
CO121C1EE-J11,casual_dress,comma,Chiffon,Print,Standing collar,Button,Boat neck,Straight,Knee-length,Regular Fit,Pink,train
Y0121C2BB-Q11,maxi_dress,YAS,Chiffon,Floral,Standing collar,Button,Missing,Flared,Long,Regular Fit,Purple,val
DD121C010-M11,casual_dress,Dine 'n' Dance,Missing,Paisley,Standing collar,Missing,Crew neck,Flared,Calf-length,Regular Fit,Green,val
VE121C3VV-J11,casual_dress,Vero Moda,Chiffon,Paisley,Standing collar,Belt,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Pink,val
L0S21C07H-B11,knitted_dress,Lauren Ralph Lauren Woman,Knit,Marl,Missing,Missing,Crew neck,Fitted,Knee-length,Slim Fit,Beige,train
H5O21C023-F11,occasion_dress,Halston,Jersey,Plain,Standing collar,Other,Low-cut v-neck,Fitted,Long,Slim Fit,Silver,train
UP121C1FA-L11,casual_dress,Ulla Popken,Jersey,Plain,Standing collar,Missing,Crew neck,Flared,Calf-length,Regular Fit,Green,train
FAB21C0A7-Q11,evening_dress,faina,Missing,Marl,Standing collar,Missing,Backless,Fitted,Short,Slim Fit,Silver,val
TOB21C0CV-Q11,casual_dress,Tommy Jeans,Rib,Plain,Polo neck,Missing,Missing,Body-hugging,Knee-length,Skinny Fit,Black,train
KA321C0DE-T11,maxi_dress,Kaffe,Jersey,Floral,Standing collar,Button,Cache-coeur,Fitted,Long,Regular Fit,Brown,train
JD521C01P-Q11,casual_dress,JDY Tall,Chiffon,Animal print,Missing,Missing,Low-cut v-neck,Fitted,Knee-length,Slim Fit,Grey,train
RO521C096-K11,denim_dress,Roxy,Denim,Marl,Turn-down collar,Button,Missing,Straight,Short,Loose Fit,Blue,train
NII21C051-J11,maxi_dress,Nicowa,Chiffon,Plain,Ruffle collar,Zip,Missing,Fitted,Long,Slim Fit,Pink,val
SE521C1DA-O11,evening_dress,Selected Femme,Satin,Plain,Standing collar,Zip,Backless,Fitted,Long,Regular Fit,Brown,train
NOB21C03C-M11,jersey_dress,Noisy May Tall,Jersey,Print,Missing,Missing,Backless,Body-hugging,Calf-length,Skinny Fit,Green,train
NU121C0KZ-O11,casual_dress,Nümph,Chiffon,Animal print,Standing collar,Other,Crew neck,Flared,Calf-length,Regular Fit,Brown,train
NX321C40N-J11,jersey_dress,Next,Jersey,Plain,Standing collar,Missing,Crew neck,Straight,Calf-length,Regular Fit,Beige,train
NEN21C0CO-T11,casual_dress,Never Fully Dressed,Missing,Colourful,Turn-down collar,Laces,Cache-coeur,Fitted,Calf-length,Regular Fit,Yellow,train
AW821C00U-J11,casual_dress,Aware,Chiffon,Plain,Standing collar,Laces,Low-cut v-neck,Straight,Knee-length,Loose Fit,Beige,val
Y0021C0VT-Q11,casual_dress,Yoek,Jersey,Polka dot,Missing,Missing,Backless,Flared,Calf-length,Regular Fit,Black,train
LQQ21C033-T11,maxi_dress,Leem,Missing,Print,Standing collar,Missing,Boat neck,Flared,Long,Loose Fit,Beige,train
UR621D06V-A11,jersey_dress,Urban Classics,Jersey,Print,Standing collar,Missing,Crew neck,Cocoon,Short,Regular Fit,White,train
NX321C46U-M11,maxi_dress,Next,Missing,Floral,Missing,Missing,Low-cut v-neck,Fitted,Long,Regular Fit,Green,val
ON321C1YF-Q19,casual_dress,ONLY,Missing,Animal print,Standing collar,Button,Henley,Straight,Short,Regular Fit,Brown,val
Y0121C1WV-I11,casual_dress,YAS,Chiffon,Floral,Missing,Button,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Purple,train
MYR21C03A-K11,denim_dress,My Essential Wardrobe,Denim,Marl,Standing collar,Zip,Backless,Fitted,Calf-length,Slim Fit,Blue,train
R5921C0GI-K11,jersey_dress,Ragwear,Jersey,Marl,Missing,Missing,Crew neck,Flared,Knee-length,Regular Fit,Grey,train
GU121C1IM-A11,casual_dress,Guess,Knit,Plain,Polo neck,Missing,Missing,Straight,Extra short,Regular Fit,White,train
WG021C0NL-G11,casual_dress,WAL G.,Jersey,Plain,Standing collar,Zip,Crew neck,Fitted,Short,Regular Fit,Red,train
DI621C00F-M11,casual_dress,Dickies,Jersey,Plain,Missing,Missing,Crew neck,Body-hugging,Short,Skinny Fit,Yellow,train
4AP21C29A-N11,casual_dress,Apart,Missing,Marl,Standing collar,Missing,Crew neck,Flared,Knee-length,Regular Fit,Beige,val
M1X21C03Q-K11,casual_dress,Max Mara Leisure,Satin,Plain,Standing collar,Missing,Scoop neck,Straight,Calf-length,Regular Fit,Blue,train
H0721C01M-O11,casual_dress,hessnatur,Knit,Plain,Standing collar,Missing,Low-cut v-neck,Straight,Long,Regular Fit,Brown,val
VE121C3VT-A11,knitted_dress,Vero Moda,Rib,Plain,Standing collar,Missing,Crew neck,Body-hugging,Calf-length,Skinny Fit,Beige,train
MQ921C0F0-G11,jersey_dress,MAX&Co.,Jersey,Plain,Standing collar,Missing,Crew neck,Flared,Short,Regular Fit,Pink,train
M4R21C0D0-M11,jersey_dress,Marc Cain,Jersey,Floral,Standing collar,Button,Crew neck,Body-hugging,Short,Slim Fit,Green,train
ONR29F040-D11,jersey_dress,ONLY MATERNITY,Jersey,Plain,Standing collar,Missing,Crew neck,Body-hugging,Long,Slim Fit,Beige,train
4AP21C27Z-I11,maxi_dress,Apart,Chiffon,Plain,Standing collar,Zip,Crew neck,Straight,Long,Regular Fit,Purple,train
L4221C1PF-K11,jersey_dress,Lauren Ralph Lauren,Jersey,Floral,Missing,Missing,Boat neck,Fitted,Calf-length,Slim Fit,Brown,train
P6921C0OY-A11,evening_dress,Pinko,Missing,Plain,Standing collar,Zip,Low-cut v-neck,Fitted,Knee-length,Slim Fit,Silver,train
VM321C0Y2-J11,casual_dress,Vera Mont,Chiffon,Floral,Missing,Zip,Backless,Flared,Knee-length,Regular Fit,Pink,train
S0U21C02J-C11,occasion_dress,Stine Goya,Tulle,Colourful,Standing collar,Missing,Backless,Fitted,Long,Slim Fit,Green,train
GE221C0IQ-D11,knitted_dress,Gestuz,Rib,Marl,Standing collar,Missing,Crew neck,Body-hugging,Long,Skinny Fit,Grey,train
KA321C17Y-K11,casual_dress,Kaffe,Jersey,Plain,Standing collar,Missing,Crew neck,Straight,Knee-length,Regular Fit,Blue,train
A1S21C03M-S11,maxi_dress,Angel of Style,Chiffon,Print,Standing collar,Laces,Low-cut v-neck,Flared,Long,Loose Fit,Green,train
M6429F1JF-Q11,jersey_dress,MAMALICIOUS,Jersey,Animal print,Standing collar,Missing,Low-cut v-neck,Straight,Calf-length,Regular Fit,Brown,train
GE221C0G9-Q11,jersey_dress,Gestuz,Jersey,Plain,Standing collar,Missing,Boat neck,Body-hugging,Knee-length,Skinny Fit,Black,train
ON321C3EU-K11,denim_dress,ONLY,Denim,Plain,Turn-down collar,Other,Missing,Fitted,Short,Slim Fit,Grey,train
PQ021C05E-K11,evening_dress,Persona by Marina Rinaldi,Chiffon,Plain,Standing collar,Missing,V-neck,Straight,Knee-length,Regular Fit,Grey,train
MUO21C02L-Q11,casual_dress,MUNTHE,Missing,Floral,Missing,Missing,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Brown,train
BY221C0F0-G11,casual_dress,b.young,Jersey,Floral,Missing,Button,Crew neck,Flared,Knee-length,Regular Fit,Purple,val
R9821C040-H11,evening_dress,Roksanda,Satin,Plain,Missing,Zip,Low-cut v-neck,Fitted,Calf-length,Loose Fit,Orange,train
PE321C1XW-A11,knitted_dress,Pieces,Knit,Striped,Standing collar,Missing,Crew neck,Straight,Short,Loose Fit,Grey,train
ARC21C07A-K12,knitted_dress,Armani Exchange,Knit,Plain,Standing collar,Missing,Crew neck,Body-hugging,Calf-length,Skinny Fit,Black,train
M5921C19I-T11,jersey_dress,Morgan,Jersey,Floral,Standing collar,Missing,Cache-coeur,Fitted,Short,Slim Fit,Blue,train
RO521C07Z-J11,knitted_dress,Roxy,Rib,Striped,Polo neck,Missing,Crew neck,Straight,Calf-length,Loose Fit,Beige,train
ASN21C014-K11,casual_dress,ASPESI,Jersey,Plain,Missing,Zip,Low-cut v-neck,Fitted,Knee-length,Regular Fit,Black,train
2BE21C0LC-K11,jersey_dress,Betty Barclay,Jersey,Floral,Missing,Missing,Low-cut v-neck,Straight,Knee-length,Regular Fit,Brown,train
IC221C07B-Q11,shirt_dress,ICHI,Missing,Plain,Turn-down collar,Button,Missing,Fitted,Knee-length,Regular Fit,Black,val
SG721C0WZ-I11,occasion_dress,Swing,Lace,Plain,Standing collar,Zip,Crew neck,Flared,Long,Regular Fit,Purple,val
S2821C0CF-Q11,casual_dress,Saint Tropez,Jersey,Plain,Missing,Missing,Low-cut v-neck,Missing,Short,Regular Fit,Black,train
L8321C06X-M11,jersey_dress,LASCANA,Jersey,Floral,Standing collar,Missing,Low-cut v-neck,Flared,Knee-length,Regular Fit,Beige,train
L8321C047-Q11,knitted_dress,LASCANA,Rib,Striped,Missing,Missing,Scoop neck,Fitted,Knee-length,Slim Fit,Grey,train
BB121C0YK-K11,evening_dress,BOSS,Jersey,Plain,Missing,Zip,Backless,Body-hugging,Calf-length,Slim Fit,Black,train
HL421C052-G11,knitted_dress,Hervé Léger,Knit,Plain,Missing,Zip,Backless,Body-hugging,Extra short,Skinny Fit,Red,train
V1021C3UQ-O11,casual_dress,VILA,Missing,Animal print,Standing collar,Button,Crew neck,Fitted,Knee-length,Regular Fit,Beige,train
IC221C0LU-J11,casual_dress,ICHI,Chiffon,Floral,Standing collar,Laces,V-neck,Flared,Short,Loose Fit,Beige,train
SO821C0FS-K11,maxi_dress,Soyaconcept,Chiffon,Floral,Turn-down collar,Button,Missing,Straight,Long,Regular Fit,Blue,train
IV321C0EF-M11,knitted_dress,IVY OAK,Rib,Plain,Standing collar,Missing,Crew neck,Body-hugging,Calf-length,Skinny Fit,Brown,train
MQ921C0EZ-G11,jersey_dress,MAX&Co.,Satin,Plain,Missing,Missing,Low-cut v-neck,Fitted,Short,Regular Fit,Pink,train
L4221C1Q6-J11,shift_dress,Lauren Ralph Lauren,Jersey,Plain,Standing collar,Zip,Crew neck,Fitted,Calf-length,Slim Fit,Pink,val
GU121C1HV-T11,casual_dress,Guess,Chiffon,Floral,Standing collar,Button,Crew neck,Fitted,Short,Regular Fit,Red,train
YA021C0AX-Q11,occasion_dress,YAS Tall,Lace,Plain,Missing,Zip,Backless,Fitted,Long,Slim Fit,Black,val
HU721C0KY-J11,work_dress,HUGO,Jersey,Plain,Other,Missing,Missing,Body-hugging,Calf-length,Slim Fit,Red,train
FAB21C0BQ-Q11,knitted_dress,faina,Knit,Plain,Missing,Button,Low-cut v-neck,Fitted,Calf-length,Slim Fit,Black,train
C1E21C07P-Q11,maxi_dress,comma casual identity,Missing,Plain,Standing collar,Button,Backless,Flared,Long,Regular Fit,Black,train
QS021C0EM-M11,occasion_dress,Sister Jane,Chiffon,Plain,Standing collar,Zip,Missing,Fitted,Long,Regular Fit,Green,train
KA321C17D-Q11,knitted_dress,Kaffe,Knit,Plain,Missing,Zip,Crew neck,Fitted,Knee-length,Regular Fit,Black,train
OB121C0PQ-B12,casual_dress,Object,Chiffon,Animal print,Missing,Missing,Low-cut v-neck,Flared,Knee-length,Regular Fit,Beige,val
MNZ21C025-J11,jersey_dress,Maliparmi,Jersey,Print,Missing,Missing,Boat neck,Straight,Knee-length,Regular Fit,Brown,train
H1N21C07T-C11,knitted_dress,HELMIDGE,Knit,Plain,Other,Button,Crew neck,Fitted,Short,Slim Fit,Grey,val
FAB21C0A2-Q11,knitted_dress,faina,Knit,Missing,Standing collar,Missing,Crew neck,Straight,Knee-length,Regular Fit,Black,val
UP121C0XP-C12,knitted_dress,Ulla Popken,Knit,Marl,Polo neck,Missing,Crew neck,Straight,Calf-length,Loose Fit,Grey,train
SAD21C0HO-Q11,knitted_dress,sandro,Knit,Plain,Turn-down collar,Button,Crew neck,Fitted,Calf-length,Slim Fit,Black,train
C1821C0E3-Q11,jersey_dress,Calvin Klein Jeans,Jersey,Plain,Standing collar,Missing,Backless,Body-hugging,Calf-length,Skinny Fit,Black,train
M5921C12Q-Q11,knitted_dress,Morgan,Rib,Plain,Polo neck,Missing,Missing,Body-hugging,Calf-length,Skinny Fit,Black,val
V1021C247-C13,knitted_dress,VILA,Knit,Marl,Polo neck,Belt,Crew neck,Fitted,Knee-length,Loose Fit,Grey,val
M1B21C028-Q11,occasion_dress,My Mascara Curves,Missing,Plain,Standing collar,Other,Low-cut v-neck,Fitted,Long,Regular Fit,Black,train
V0921C095-K11,evening_dress,Victoria Beckham,Jersey,Plain,Standing collar,Zip,Backless,Fitted,Calf-length,Regular Fit,Blue,train
Y0121C2CO-A11,casual_dress,YAS,Knit,Plain,Standing collar,Missing,Low-cut v-neck,Body-hugging,Calf-length,Skinny Fit,Beige,val
L8321C01C-Q11,maxi_dress,LASCANA,Knit,Other,Missing,Missing,Crew neck,Missing,Long,Missing,Black,val
BB121C0XM-Q11,work_dress,BOSS,Missing,Other,Missing,Button,Crew neck,Fitted,Calf-length,Slim Fit,Silver,train
KA321C17J-K11,casual_dress,Kaffe,Missing,Plain,Missing,Missing,Low-cut v-neck,Flared,Calf-length,Loose Fit,Blue,train
C2P21C0AV-J11,casual_dress,Cache Cache,Chiffon,Floral,Missing,Button,Low-cut v-neck,Fitted,Short,Regular Fit,Purple,train
ES421C1PN-Q11,work_dress,Esprit Collection,Jersey,Plain,Missing,Missing,Crew neck,Body-hugging,Knee-length,Skinny Fit,Grey,val
KRG21C03G-K12,evening_dress,Kraimod,Chiffon,Plain,Standing collar,Button,Low-cut v-neck,Flared,Knee-length,Slim Fit,Blue,train
AD121C0CR-J11,casual_dress,adidas Originals,Jersey,Floral,Standing collar,Missing,Backless,Body-hugging,Extra short,Skinny Fit,Pink,val
BYC21C04I-T11,evening_dress,By Malina,Missing,Animal print,Missing,Zip,Crew neck,Fitted,Short,Slim Fit,Beige,train
02R21C01I-A11,knitted_dress,MOSCHINO JEANS,Rib,Plain,Missing,Missing,Square neck,Body-hugging,Short,Skinny Fit,White,train
VM321C0UH-I11,jersey_dress,Vera Mont,Jersey,Plain,Standing collar,Zip,Low-cut v-neck,Fitted,Knee-length,Slim Fit,Purple,train
2BE21C0N8-G11,casual_dress,Betty Barclay,Missing,Colourful,Standing collar,Belt,Low-cut v-neck,Fitted,Calf-length,Regular Fit,Orange,train
TAS21C0GE-B11,knitted_dress,TATUUM,Knit,Plain,Missing,Missing,Low-cut v-neck,Straight,Knee-length,Regular Fit,Beige,train
SHI21C09X-K11,evening_dress,Sheego,Chiffon,Plain,Standing collar,Missing,Backless,Straight,Calf-length,Regular Fit,Blue,train
F2121C05L-K12,casual_dress,Fransa,Missing,Floral,Missing,Missing,Henley,Missing,Knee-length,Regular Fit,Grey,train
P2121C0JA-K11,casual_dress,Part Two,Jersey,Floral,Missing,Zip,Crew neck,Straight,Knee-length,Regular Fit,Beige,train
AM221C054-Q11,knitted_dress,American Vintage,Knit,Plain,Other,Missing,Crew neck,Straight,Calf-length,Regular Fit,Black,train
AN121C1MS-M11,evening_dress,Ana Alcazar,Missing,Missing,Standing collar,Missing,Crew neck,Straight,Short,Regular Fit,Green,train
L2521C0H1-Q11,casual_dress,Liu Jo Jeans,Jersey,Missing,Missing,Missing,Crew neck,Straight,Short,Regular Fit,Black,val
WG021C1D2-I11,jersey_dress,WAL G.,Jersey,Plain,Missing,Zip,Missing,Body-hugging,Knee-length,Skinny Fit,Pink,train
LYA21C004-M11,casual_dress,LYVEM The Label,Satin,Plain,Standing collar,Missing,Off-the-shoulder,Fitted,Short,Regular Fit,Green,train
TO721C0ER-K11,denim_dress,TOM TAILOR DENIM,Denim,Missing,Missing,Button,Crew neck,Flared,Knee-length,Loose Fit,Blue,train
TOB21C0DS-Q11,casual_dress,Tommy Jeans,Jersey,Plain,Standing collar,Missing,Low-cut v-neck,Fitted,Short,Regular Fit,Black,val
KRG21C049-A11,shift_dress,Kraimod,Missing,Plain,Missing,Zip,Low-cut v-neck,Fitted,Knee-length,Slim Fit,White,val
H0421C08D-A11,knitted_dress,Hollister Co.,Rib,Plain,Standing collar,Missing,Missing,Body-hugging,Extra short,Skinny Fit,Beige,val
NOY21C01W-T11,jersey_dress,Noisy May Curve,Jersey,Striped,Missing,Missing,Crew neck,Straight,Calf-length,Loose Fit,Grey,train
GU121C1FU-Q11,evening_dress,Guess,Tulle,Polka dot,Standing collar,Missing,Square neck,Fitted,Short,Slim Fit,Grey,train
V0921C08A-Q11,jersey_dress,Victoria Beckham,Jersey,Plain,Polo neck,Zip,Missing,Fitted,Long,Slim Fit,Purple,train
3DD21C00V-Q11,jersey_dress,Dondup,Jersey,Plain,Standing collar,Missing,Missing,Body-hugging,Calf-length,Skinny Fit,Black,train
KS821C0BC-B11,casual_dress,Karen by Simonsen,Knit,Plain,Standing collar,Button,Crew neck,Fitted,Calf-length,Regular Fit,Beige,train
MQ921C0FW-G11,evening_dress,MAX&Co.,Tulle,Marl,Standing collar,Zip,Square neck,Fitted,Short,Slim Fit,Grey,val
CSP21C012-K11,casual_dress,Caroll,Missing,Plain,Standing collar,Belt,Crew neck,Fitted,Calf-length,Slim Fit,Blue,val
WO321C04K-T11,casual_dress,Won Hundred,Tulle,Other,Standing collar,Missing,Crew neck,Body-hugging,Long,Skinny Fit,Blue,train
NX321C42G-Q11,maxi_dress,Next,Chiffon,Print,Standing collar,Button,Missing,Fitted,Long,Regular Fit,Green,train
ONR29F029-A11,maxi_dress,ONLY MATERNITY,Chiffon,Floral,Missing,Missing,Low-cut v-neck,Flared,Long,Regular Fit,Beige,val
TO121C15G-K11,knitted_dress,Tommy Hilfiger,Rib,Plain,Standing collar,Missing,Crew neck,Flared,Knee-length,Regular Fit,Blue,train
ONA21C0MO-K11,casual_dress,ONLY Carmakoma,Denim,Missing,Missing,Laces,Cache-coeur,Fitted,Calf-length,Regular Fit,Blue,train
CD821C031-K11,casual_dress,I.Code by IKKS,Jersey,Print,Missing,Button,Low-cut v-neck,Straight,Short,Slim Fit,Grey,val
NX321C2ZJ-M12,jersey_dress,Next,Jersey,Marl,Standing collar,Missing,Crew neck,Flared,Long,Regular Fit,Green,train
GU121C1G0-Q11,evening_dress,Guess,Mesh,Missing,Standing collar,Button,Crew neck,Fitted,Short,Slim Fit,Grey,train
C2P21C0BK-M11,knitted_dress,Cache Cache,Knit,Plain,Turn-down collar,Missing,V-neck,Straight,Short,Regular Fit,Green,val
QM421C0JQ-T11,casual_dress,Marks & Spencer,Jersey,Floral,Missing,Zip,Crew neck,Fitted,Calf-length,Regular Fit,Green,train
